title,genre,runtime,votes,rating,revenue,director,actor,description
Under the Skin,Drama,108,94707,6.3,2.61,Jonathan Glazer,Scarlett Johansson,A mysterious young woman seduces lonely men in the evening hours in Scotland. However events lead her to begin a process of self-discovery.
I Am Legend,Drama,101,565721,7.2,256.39,Francis Lawrence,Will Smith,Years after a plague kills most of humanity and transforms the rest into monsters the sole survivor in New York City struggles valiantly to find a cure.
Men in Black 3,Action,106,278379,6.8,179.02,Barry Sonnenfeld,Will Smith,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
Super 8,Mystery,112,298913,7.1,126.98,J.J. Abrams,Elle Fanning,During the summer of 1979 a group of friends witness a train crash and investigate subsequent unexplained events in their small town.
Law Abiding Citizen,Crime,109,228339,7.4,73.34,F. Gary Gray,Gerard Butler,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
Up,Animation,96,722203,8.3,292.98,Pete Docter,Edward Asner,Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons inadvertently taking a young stowaway.
Maze Runner: The Scorch Trials,Action,131,159364,6.3,81.69,Wes Ball,Dylan O'Brien,After having escaped the Maze the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.
Carol,Drama,118,77995,7.2,0.25,Todd Haynes,Cate Blanchett,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.
Imperium,Crime,109,27428,6.5,0.50,Daniel Ragussis,Daniel Radcliffe,A young FBI agent eager to prove himself in the field goes undercover as a white supremacist.
Youth,Comedy,124,52636,7.3,2.70,Paolo Sorrentino,Michael Caine,A retired orchestra conductor is on holiday with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.
Mr. Nobody,Drama,141,166872,7.9,0.50,Jaco Van Dormael,Jared Leto,A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose anything is possible.
City of Tiny Lights,Crime,110,291,5.7,0.50,Pete Travis,Riz Ahmed,In the teeming multicultural metropolis of modern-day London a seemingly straightforward missing-person case launches a down-at-heel private eye into a dangerous world of religious fanaticism and political intrigue.
Savages,Crime,131,107960,6.5,47.31,Oliver Stone,Aaron Taylor-Johnson,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.
(500) Days of Summer,Comedy,95,398972,7.7,32.39,Marc Webb,Zooey Deschanel,An offbeat romantic comedy about a woman who doesn't believe true love exists and the young man who falls for her.
Movie 43,Comedy,94,83625,4.3,8.83,Elizabeth Banks,Emma Stone,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
Gravity,Drama,91,622089,7.8,274.08,Alfonso Cuarón,Sandra Bullock,Two astronauts work together to survive after an accident which leaves them alone in space.
The Boy in the Striped Pyjamas,Drama,94,144614,7.8,9.03,Mark Herman,Asa Butterfield,Set during WWII a story seen through the innocent eyes of Bruno the eight-year-old son of the commandant at a German concentration camp whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.
Shooter,Action,124,267820,7.2,46.98,Antoine Fuqua,Mark Wahlberg,A marksman living in exile is coaxed back into action after learning of a plot to kill the President. Ultimately double-crossed and framed for the attempt he goes on the run to find the real killer and the reason he was set up.
The Happening,Sci-Fi,91,170897,5.0,64.51,M. Night Shyamalan,Mark Wahlberg,A science teacher his wife and a young girl struggle to survive a plague that causes those infected to commit suicide.
Bone Tomahawk,Adventure,132,47289,7.1,66.01,S. Craig Zahler,Kurt Russell,Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers.
Magic Mike XXL,Comedy,115,42506,5.7,0.50,Gregory Jacobs,Channing Tatum,Three years after Mike bowed out of the stripper life at the top of his game he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.
Easy A,Comedy,92,294950,7.1,58.40,Will Gluck,Emma Stone,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Exodus: Gods and Kings,Action,150,137299,6.0,65.01,Ridley Scott,Christian Bale,The defiant leader Moses rises up against the Egyptian Pharaoh Ramses setting 600000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.
Chappie,Action,120,188769,6.9,31.57,Neill Blomkamp,Sharlto Copley,In the near future crime is patrolled by a mechanized police force. When one police droid Chappie is stolen and given new programming he becomes the first robot with the ability to think and feel for himself.
The Hobbit: The Desolation of Smaug,Adventure,161,513744,7.9,258.36,Peter Jackson,Ian McKellen,The dwarves along with Bilbo Baggins and Gandalf the Grey continue their quest to reclaim Erebor their homeland from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.
Half of a Yellow Sun,Drama,111,1356,6.2,0.05,Biyi Bandele,Chiwetel Ejiofor,Sisters Olanna and Kainene return home to 1960s Nigeria where they soon diverge on different paths. As civil war breaks out political events loom larger than their differences as they join the fight to establish an independent republic.
Anthropoid,Biography,120,24100,7.2,2.96,Sean Ellis,Jamie Dornan,Based on the extraordinary true story of Operation Anthropoid the WWII mission to assassinate SS General Reinhard Heydrich the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.
The Counselor,Crime,117,84927,5.3,16.97,Ridley Scott,Michael Fassbender,A lawyer finds himself in over his head when he gets involved in drug trafficking.
Viking,Action,133,1830,4.7,23.05,Andrey Kravchuk,Anton Adasinsky,Kievan Rus late 10th century. After the death of his father the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.
Whiskey Tango Foxtrot,Biography,112,36156,6.6,0.50,Glenn Ficarra,Tina Fey,A journalist recounts her wartime coverage in Afghanistan.
Trust,Crime,106,36043,7.0,0.06,David Schwimmer,Clive Owen,A teenage girl is targeted by an online sexual predator.
Birth of the Dragon,Action,103,552,3.9,93.05,George Nolfi,Billy Magnussen,Young up-and-coming martial artist Bruce Lee challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California.
Elysium,Action,109,358932,6.6,0.50,Neill Blomkamp,Matt Damon,In the year 2154 the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.
The Green Inferno,Adventure,100,26461,5.4,7.19,Eli Roth,Lorenza Izzo,A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone and that no good deed goes unpunished.
Godzilla,Action,123,318058,6.4,200.66,Gareth Edwards,Aaron Taylor-Johnson,The world is beset by the appearance of monstrous creatures but one of them may be the only one who can save humanity.
The Bourne Legacy,Action,135,245374,6.7,113.17,Tony Gilroy,Jeremy Renner,An expansion of the universe from Robert Ludlum's novels centered on a new hero whose stakes have been triggered by the events of the previous three films.
A Good Year,Comedy,117,74674,6.9,7.46,Ridley Scott,Russell Crowe,A British investment broker inherits his uncle's chateau and vineyard in Provence where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.
Friend Request,Horror,92,12758,5.4,64.03,Simon Verhoeven,Alycia Debnam-Carey,When a college student unfriends a mysterious girl online she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.
Deja Vu,Action,126,253858,7.0,0.50,Tony Scott,Denzel Washington,After a ferry is bombed in New Orleans an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber but soon finds himself becoming obsessed with one of the victims.
Lucy,Action,89,352698,6.4,126.55,Luc Besson,Scarlett Johansson,A woman accidentally caught in a dark deal turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.
A Quiet Passion,Biography,125,1024,7.2,1.08,Terence Davies,Cynthia Nixon,The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive unrecognized artist.
Need for Speed,Action,132,143389,6.5,43.57,Scott Waugh,Aaron Paul,Fresh from prison a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner learning of the plan places a massive bounty on his head as the race begins.
Jack Reacher,Action,130,250811,7.0,58.68,Christopher McQuarrie,Tom Cruise,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.
The Do-Over,Action,108,24761,5.7,0.54,Steven Brill,Adam Sandler,Two down-on-their-luck guys decide to fake their own deaths and start over with new identities only to find the people they're pretending to be are in even deeper trouble.
True Crimes,Crime,92,198,7.3,0.50,Alexandros Avranas,Jim Carrey,"A murder investigation of a slain business man turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A postmodern murder mystery"" by David Grann."
American Pastoral,Crime,108,7115,6.1,0.50,Ewan McGregor,Ewan McGregor,An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.
The Ghost Writer,Mystery,128,137964,7.2,15.52,Roman Polanski,Ewan McGregor,A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.
Limitless,Mystery,105,444417,7.4,79.24,Neil Burger,Bradley Cooper,With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities a struggling writer becomes a financial wizard but it also puts him in a new world with lots of dangers.
Spectral,Action,107,27042,6.3,0.50,Nic Mathieu,James Badge Dale,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.
P.S. I Love You,Drama,126,177247,7.1,53.68,Richard LaGravenese,Hilary Swank,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
Zipper,Drama,103,4912,5.7,0.50,Mora Stephens,Patrick Wilson,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.
Midnight Special,Drama,112,54787,6.7,3.71,Jeff Nichols,Michael Shannon,A father and son go on the run pursued by the government and a cult drawn to the child's special powers.
Don't Think Twice,Comedy,92,10485,6.8,4.42,Mike Birbiglia,Keegan-Michael Key,When a member of a popular New York City improv troupe gets a huge break the rest of the group - all best friends - start to realize that not everyone is going to make it after all.
Alice in Wonderland,Adventure,108,324898,6.5,334.19,Tim Burton,Mia Wasikowska,Nineteen-year-old Alice returns to the magical world from her childhood adventure where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.
Chuck,Biography,98,391,6.8,0.11,Philippe Falardeau,Elisabeth Moss,A drama inspired by the life of heavyweight boxer Chuck Wepner.
I Daniel,Drama,100,22941,7.9,0.50,Ken Loach,Dave Johns,After having suffered a heart-attack a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.
The Break-Up,Comedy,106,106381,5.8,118.68,Peyton Reed,Jennifer Aniston,In a bid to keep their luxurious condo from their significant other a couple's break-up proceeds to get uglier and nastier by the moment.
Loving,Biography,123,17141,7.1,7.70,Jeff Nichols,Ruth Negga,The story of Richard and Mildred Loving a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.
Fantastic Four,Action,100,121847,4.3,56.11,Josh Trank,Miles Teller,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.
The Survivalist,Drama,104,9187,6.3,0.50,Stephen Fingleton,Mia Goth,In a time of starvation a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm he finds his existence threatened.
Colonia,Drama,106,30074,7.1,0.50,Florian Gallenberger,Emma Watson,A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad a sect nobody has ever escaped from.
The Boy Next Door,Mystery,91,30180,4.6,35.39,Rob Cohen,Jennifer Lopez,A woman separated from her unfaithful husband falls for a younger man who has moved in next door but their torrid affair soon takes a dangerous turn.
The Gift,Mystery,108,96688,7.1,43.77,Joel Edgerton,Jason Bateman,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.
Dracula Untold,Action,92,148504,6.3,55.94,Gary Shore,Luke Evans,As his kingdom is being threatened by the Turks young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family and the families of his kingdom.
In the Heart of the Sea,Action,122,90372,6.9,24.99,Ron Howard,Chris Hemsworth,A recounting of a New England whaling ship's sinking by a giant whale in 1820 an experience that later inspired the great novel Moby-Dick.
Idiocracy,Adventure,84,115355,6.6,0.44,Mike Judge,Luke Wilson,Private Joe Bauers the definition of average American is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.
The Expendables,Action,103,283282,6.5,102.98,Sylvester Stallone,Sylvester Stallone,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
Evil Dead,Fantasy,91,133113,6.5,54.24,Fede Alvarez,Jane Levy,Five friends head to a remote cabin where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.
Sinister,Horror,110,171169,6.8,48.06,Scott Derrickson,Ethan Hawke,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.
Wreck-It Ralph,Animation,101,290559,7.8,189.41,Rich Moore,John C. Reilly,A video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives.
Snow White and the Huntsman,Action,127,239772,6.1,155.11,Rupert Sanders,Kristen Stewart,In a twist to the fairy tale the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.
Pan,Adventure,111,47804,5.8,34.96,Joe Wright,Levi Miller,12-year-old orphan Peter is spirited away to the magical world of Neverland where he finds both fun and danger and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.
Transformers: Dark of the Moon,Action,154,338369,6.3,352.36,Michael Bay,Shia LaBeouf,The Autobots learn of a Cybertronian spacecraft hidden on the moon and race against the Decepticons to reach it and to learn its secrets.
Juno,Comedy,96,432461,7.5,143.49,Jason Reitman,Ellen Page,Faced with an unplanned pregnancy an offbeat young woman makes an unusual decision regarding her unborn child.
A Hologram for the King,Comedy,98,26521,6.1,4.20,Tom Tykwer,Tom Hanks,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.
Money Monster,Crime,98,68654,6.5,41.01,Jodie Foster,George Clooney,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.
The Other Woman,Comedy,109,110825,6.0,83.91,Nick Cassavetes,Cameron Diaz,After discovering her boyfriend is married Carly soon meets the wife he's been betraying. And when yet another love affair is discovered all three women team up to plot revenge on the three-timing S.O.B.
Enchanted,Animation,107,150353,7.1,127.71,Kevin Lima,Amy Adams,A young maiden in a land called Andalasia who is prepared to be wed is sent away to New York City by an evil queen where she falls in love with a lawyer.
The Intern,Comedy,121,159582,7.1,75.27,Nancy Meyers,Robert De Niro,70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game he becomes a senior intern at an online fashion site founded and run by Jules Ostin.
Little Miss Sunshine,Comedy,101,374044,7.8,59.89,Jonathan Dayton,Steve Carell,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Bleed for This,Biography,117,11900,6.8,4.85,Ben Younger,Miles Teller,The inspirational story of World Champion Boxer Vinny Pazienza who after a near fatal car crash which left him not knowing if he'd ever walk again made one of sport's most incredible comebacks.
Clash of the Titans,Action,106,238206,5.8,163.19,Louis Leterrier,Sam Worthington,Perseus demigod son of Zeus battles the minions of the underworld to stop them from conquering heaven and earth.
The Finest Hours,Action,117,44425,6.8,27.55,Craig Gillespie,Chris Pine,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.
Tron,Action,125,273959,6.8,172.05,Joseph Kosinski,Jeff Bridges,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
The Hunger Games: Catching Fire,Action,146,525646,7.6,424.65,Francis Lawrence,Jennifer Lawrence,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
All Good Things,Crime,101,44158,6.3,0.58,Andrew Jarecki,Ryan Gosling,Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982 but the truth is eventually revealed.
Kickboxer: Vengeance,Action,90,6809,4.9,131.56,John Stockwell,Dave Bautista,A kick boxer is out to avenge his brother.
The Last Airbender,Action,103,125129,4.2,0.50,M. Night Shyamalan,Noah Ringer,Follows the adventures of Aang a young successor to a long line of Avatars who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.
Sex Tape,Comedy,94,89885,5.1,38.54,Jake Kasdan,Jason Segel,A married couple wake up to discover that the sex tape they made the evening before has gone missing leading to a frantic search for its whereabouts.
What to Expect When You're Expecting,Comedy,110,60059,5.7,41.10,Kirk Jones,Cameron Diaz,Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby and realize that no matter what you plan for life does not always deliver what is expected.
Moneyball,Biography,133,297395,7.6,75.61,Bennett Miller,Brad Pitt,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
Ghost Rider,Action,114,190673,5.2,115.80,Mark Steven Johnson,Nicolas Cage,Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante to fight against power hungry Blackheart the son of the devil himself.
Unbroken,Biography,137,114006,7.2,115.60,Angelina Jolie,Jack O'Connell,After a near-fatal plane crash in WWII Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.
Immortals,Action,110,142900,6.0,83.50,Tarsem Singh,Henry Cavill,Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion who is on a rampage across Greece to obtain a weapon that can destroy humanity.
Sunshine,Adventure,107,199860,7.3,3.68,Danny Boyle,Cillian Murphy,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
Brave,Animation,93,293941,7.2,237.28,Mark Andrews,Kelly Macdonald,Determined to make her own path in life Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish Merida must rely on her bravery and her archery skills to undo a beastly curse.
Män som hatar kvinnor,Drama,152,182074,7.8,10.10,Niels Arden Oplev,Michael Nyqvist,A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.
Adoration,Drama,112,25208,6.2,0.32,Anne Fontaine,Naomi Watts,A pair of childhood friends and neighbors fall for each other's sons.
The Drop,Crime,106,116118,7.1,10.72,Michaël R. Roskam,Tom Hardy,Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends families and foes all work together to make a living - no matter the cost.
She's the Man,Comedy,105,122864,6.4,2.34,Andy Fickman,Amanda Bynes,When her brother decides to ditch for a couple weeks Viola heads over to his elite boarding school disguised as him and proceeds to fall for one of his soccer teammates and soon learns she's not the only one with romantic troubles.
Daddy's Home,Comedy,96,68306,6.1,150.32,Sean Anders,Will Ferrell,Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father Dusty Mayron returns.
Let Me In,Drama,116,97141,7.2,12.13,Matt Reeves,Kodi Smit-McPhee,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
Never Back Down,Action,110,84083,6.6,24.85,Jeff Wadlow,Sean Faris,A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.
Grimsby,Action,83,63408,6.2,6.86,Louis Leterrier,Sacha Baron Cohen,A new assignment forces a top spy to team up with his football hooligan brother.
Moon,Drama,97,277123,7.9,5.01,Duncan Jones,Sam Rockwell,Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon where he working alongside his computer GERTY sends back to Earth parcels of a resource that has helped diminish our planet's power problems.
Megamind,Animation,95,183926,7.3,148.34,Tom McGrath,Will Ferrell,The supervillain Megamind finally defeats his nemesis the superhero Metro Man. But without a hero he loses all purpose and must find new meaning to his life.
Gangster Squad,Action,113,181432,6.7,46.00,Ruben Fleischer,Sean Penn,It's 1949 Los Angeles the city is run by gangsters and a malicious mobster Mickey Cohen. Determined to end the corruption John O'Mara assembles a team of cops ready to take down the ruthless leader and restore peace to the city.
Blood Father,Action,88,40357,6.4,93.95,Jean-François Richet,Mel Gibson,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.
He's Just Not That Into You,Comedy,129,137684,6.4,0.50,Ken Kwapis,Jennifer Aniston,The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
Kung Fu Panda 3,Animation,95,89791,7.2,143.52,Alessandro Carloni,Jack Black,Continuing his legendary adventures of awesomeness Po must face two hugely epic but different threats: one supernatural and the other a little closer to his home.
The Rise of the Krays,Crime,110,1630,5.1,6.53,Zackary Adler,Matt Vael,Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.
Handsome Devil,Drama,95,338,7.4,0.50,John Butler,Fionn O'Shea,Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.
Winter's Bone,Drama,100,116435,7.2,0.50,Debra Granik,Jennifer Lawrence,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
Horrible Bosses,Comedy,98,368556,6.9,117.53,Seth Gordon,Jason Bateman,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
Mommy,Drama,139,33560,8.1,3.49,Xavier Dolan,Anne Dorval,A widowed single mother
Hellboy II: The Golden Army,Action,120,216932,7.0,75.75,Guillermo del Toro,Ron Perlman,The mythical world starts a rebellion against humanity in order to rule the Earth so Hellboy and his team must save the world from the rebellious creatures.
Beautiful Creatures,Drama,124,71822,6.2,19.45,Richard LaGravenese,Alice Englert,Ethan longs to escape his small Southern town. He meets a mysterious new girl Lena. Together they uncover dark secrets about their respective families their history and their town.
Toni Erdmann,Comedy,162,24387,7.6,1.48,Maren Ade,Sandra Hüller,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.
The Lovely Bones,Drama,135,130702,6.7,43.98,Peter Jackson,Rachel Weisz,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.
The Assassination of Jesse James by the Coward Robert Ford,Biography,160,143564,7.5,3.90,Andrew Dominik,Brad Pitt,Robert Ford who's idolized Jesse James since childhood tries hard to join the reforming gang of the Missouri outlaw but gradually becomes resentful of the bandit leader.
Don Jon,Comedy,90,199973,6.6,24.48,Joseph Gordon-Levitt,Joseph Gordon-Levitt,A New Jersey guy dedicated to his family friends and church develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.
Bastille Day,Action,92,21089,6.3,0.04,James Watkins,Idris Elba,A young con artist and an unruly CIA agent embark on an anti-terrorist mission in France.
2307: Winter's Dream,Sci-Fi,101,277,4.0,20.76,Joey Curtis,Paul Sidhu,In 2307
Free State of Jones,Action,139,29895,6.9,0.50,Gary Ross,Matthew McConaughey,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters runaway slaves and women in an uprising against the corrupt local Confederate government.
Mr. Right,Action,95,30053,6.3,0.03,Paco Cabezas,Anna Kendrick,A girl falls for the perfect guy who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.
The Secret Life of Walter Mitty,Adventure,114,249877,7.3,58.23,Ben Stiller,Ben Stiller,When his job along with that of his co-worker are threatened Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.
Dope,Comedy,103,66400,7.3,17.47,Rick Famuyiwa,Shameik Moore,Life changes for Malcolm a geek who's surviving life in a tough neighborhood after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.
Underworld Awakening,Action,88,127157,6.4,62.32,Måns Mårlind,Kate Beckinsale,When human forces discover the existence of the Vampire and Lycan clans a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.
Antichrist,Drama,108,94069,6.6,0.40,Lars von Trier,Willem Dafoe,A grieving couple retreat to their cabin in the woods hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.
Friday the 13th,Horror,97,78631,5.6,65.00,Marcus Nispel,Jared Padalecki,A group of young adults discover a boarded up Camp Crystal Lake
Taken 3,Action,109,144715,6.0,89.25,Olivier Megaton,Liam Neeson,Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued Mills brings out his particular set of skills to find the true killer and clear his name.
Total Recall,Action,118,210965,6.3,58.88,Len Wiseman,Colin Farrell,A factory worker Douglas Quaid begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.
X-Men: The Last Stand,Action,104,406540,6.7,234.36,Brett Ratner,Patrick Stewart,When a cure is found to treat mutations lines are drawn amongst the X-Men led by Professor Charles Xavier and the Brotherhood a band of powerful mutants organized under Xavier's former ally Magneto.
The Escort,Comedy,88,7181,6.0,0.50,Will Slocombe,Lyndsy Fonseca,Desperate for a good story a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.
The Whole Truth,Crime,93,10700,6.1,0.50,Courtney Hunt,Keanu Reeves,A defense attorney works to get his teenage client acquitted of murdering his wealthy father.
Night at the Museum: Secret of the Tomb,Adventure,98,74886,6.2,113.73,Shawn Levy,Ben Stiller,Larry spans the globe uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.
Love & Other Drugs,Comedy,112,151519,6.7,32.36,Edward Zwick,Jake Gyllenhaal,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.
The Interview,Comedy,112,261536,6.6,6.11,Evan Goldberg,James Franco,Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show Skylark Tonight. When they land an interview with a surprise fan
The Host,Comedy,120,73491,7.0,2.20,Bong Joon Ho,Kang-ho Song,A monster emerges from Seoul's Han River and focuses its attention on attacking people. One victim's loving family does what it can to rescue her from its clutches.
Megan Is Missing,Drama,85,6683,4.9,0.50,Michael Goi,Amber Perkins,Two teenage girls encounter an Internet child predator.
WALL·E,Animation,98,776897,8.4,223.81,Andrew Stanton,Ben Burtt,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
Knocked Up,Comedy,129,309398,7.0,148.73,Judd Apatow,Seth Rogen,For fun-loving party animal Ben Stone the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.
Source Code,Mystery,93,404884,7.5,54.70,Duncan Jones,Jake Gyllenhaal,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.
Lawless,Crime,116,195360,7.3,37.40,John Hillcoat,Tom Hardy,Set in Depression-era Franklin County Virginia a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.
Unfriended,Drama,83,50402,5.6,31.54,Levan Gabriadze,Heather Sossaman,A group of online chat room friends find themselves haunted by a mysterious supernatural force using the account of their dead friend.
American Reunion,Comedy,113,178471,6.7,56.72,Jon Hurwitz,Jason Biggs,Jim
The Pursuit of Happyness,Biography,117,361105,8.0,162.59,Gabriele Muccino,Will Smith,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Relatos salvajes,Comedy,122,110100,8.1,3.08,Damián Szifron,Darío Grandinetti,Six short stories that explore the extremities of human behavior involving people in distress.
The Ridiculous 6,Comedy,119,31149,4.8,0.50,Frank Coraci,Adam Sandler,An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward deadbeat dad.
Frantz,Drama,113,4304,7.5,0.86,François Ozon,Pierre Niney,In the aftermath of WWI a young German who grieves the death of her fiancé in France meets a mysterious Frenchman who visits the fiancé's grave to lay flowers.
